Fact Table Name,Counter Name,Data id,MO class
DC_E_IPTRANSPORT_ETH_SOAM,xfServiceOamDelayMaxPercentileDelayVariation,xfServiceOamDelayMaxPercentileDelayVariation,ServiceOAMDelay
DC_E_IPTRANSPORT_ETH_SOAM,xfServiceOamLossStartTime,xfServiceOamLossStartTime,ServiceOAMLoss
DC_E_IPTRANSPORT_ETH_SOAM,xfServiceOamLossEndTime,xfServiceOamLossEndTime,ServiceOAMLoss
DC_E_IPTRANSPORT_ETH_SOAM,xfServiceOamLossAvgForwardLossRatio,xfServiceOamLossAvgForwardLossRatio,ServiceOAMLoss
DC_E_IPTRANSPORT_ETH_SOAM,xfServiceOamLossMinForwardLossRatio,xfServiceOamLossMinForwardLossRatio,ServiceOAMLoss
DC_E_IPTRANSPORT_ETH_SOAM,xfServiceOamLossMaxForwardLossRatio,xfServiceOamLossMaxForwardLossRatio,ServiceOAMLoss
DC_E_IPTRANSPORT_ETH_SOAM,xfServiceOamLossAvgRevLossRatio,xfServiceOamLossAvgRevLossRatio,ServiceOAMLoss
DC_E_IPTRANSPORT_ETH_SOAM,xfServiceOamLossMinRevLossRatio,xfServiceOamLossMinRevLossRatio,ServiceOAMLoss
DC_E_IPTRANSPORT_ETH_SOAM,xfServiceOamLossMaxRevLossRatio,xfServiceOamLossMaxRevLossRatio,ServiceOAMLoss
DC_E_IPTRANSPORT_ETH_SOAM,xfServiceOamLossNeOutFrameNum,xfServiceOamLossNeOutFrameNum,ServiceOAMLoss
DC_E_IPTRANSPORT_ETH_SOAM,xfServiceOamLossNeInFrameNum,xfServiceOamLossNeInFrameNum,ServiceOAMLoss
DC_E_IPTRANSPORT_ETH_SOAM,xfServiceOamLossFeOutFrameNum,xfServiceOamLossFeOutFrameNum,ServiceOAMLoss
DC_E_IPTRANSPORT_ETH_SOAM,xfServiceOamLossFeInFrameNum,xfServiceOamLossFeInFrameNum,ServiceOAMLoss
DC_E_IPTRANSPORT_ETH_SOAM,xfServiceOamLossReceivedLMROkNum,xfServiceOamLossReceivedLMROkNum,ServiceOAMLoss
